seed,I_600,I_1200
1,401,402
2,401,402
3,401,402
4,401,402
5,401,402
6,401,402
7,401,402
8,401,402
9,401,402
10,401,402
11,401,402
12,401,402
13,401,402
14,401,402
15,401,402
16,401,402
17,401,402
18,401,402
19,401,402
20,401,402
21,401,402
22,401,402
23,401,402
24,401,402
25,401,402
26,401,402
27,401,402
28,401,402
29,401,402
30,401,402
31,401,402
32,401,402
33,401,402
34,401,402
35,401,402
36,401,402
37,401,402
38,401,402
39,401,402
40,401,402
41,401,402
42,401,402
43,401,402
44,401,402
45,401,402
46,401,402
47,401,402
48,401,402
49,401,402
50,401,402
51,401,402
52,401,402
53,401,402
54,401,402
55,401,402
56,401,402
57,401,402
58,401,402
59,401,402
60,401,402
61,401,402
62,401,402
63,401,402
64,401,402
65,401,402
66,401,402
67,401,402
68,401,402
69,397,402
70,401,402
71,401,402
72,401,402
73,401,402
74,401,402
75,401,402
76,401,402
77,401,402
78,401,402
79,401,402
80,401,402
81,401,402
82,401,402
83,401,402
84,401,402
85,401,402
86,401,402
87,401,402
88,401,402
89,401,402
90,401,402
91,401,402
92,401,402
93,401,402
94,401,402
95,401,402
96,401,402
97,401,402
98,401,402
99,401,402
100,401,402
101,401,402
102,401,402
103,401,402
104,401,402
105,401,402
106,401,402
107,401,402
108,401,402
109,401,402
110,401,402
111,401,402
112,401,402
113,401,402
114,401,402
115,401,402
116,401,402
117,401,402
118,401,402
119,401,402
120,401,402
121,401,402
122,401,402
123,401,402
124,401,402
125,401,402
126,401,402
127,401,402
128,401,402
129,401,402
130,401,402
131,401,402
132,401,402
133,401,402
134,401,402
135,401,402
136,401,402
137,401,402
138,401,402
139,401,402
140,401,402
141,401,402
142,401,402
143,401,402
144,401,402
145,401,402
146,401,402
147,401,402
148,401,402
149,401,402
150,401,402
151,401,402
152,401,402
153,401,402
154,401,402
155,401,402
156,401,402
157,401,402
158,401,402
159,401,402
160,401,402
161,401,402
162,401,402
163,401,402
164,401,402
165,401,402
166,401,402
167,401,402
168,401,402
169,401,402
170,401,402
171,401,402
172,401,402
173,401,402
174,401,402
175,401,402
176,401,402
177,401,402
178,401,402
179,401,402
180,401,402
181,401,402
182,401,402
183,401,402
184,401,402
185,401,402
186,401,402
187,401,402
188,401,402
189,401,402
190,401,402
191,401,402
192,401,402
193,401,402
194,401,402
195,401,402
196,401,402
197,401,402
198,401,402
199,401,402
200,401,402
201,401,402
202,401,402
203,401,402
204,401,402
205,401,402
206,401,402
207,401,402
208,401,402
209,401,402
210,401,402
211,401,402
212,401,402
213,401,402
214,401,402
215,401,402
216,401,402
217,401,402
218,401,402
219,401,402
220,401,402
221,401,402
222,401,402
223,401,402
224,401,402
225,401,402
226,401,402
227,399,402
228,399,402
229,401,402
230,401,402
231,401,402
232,401,402
233,401,402
234,401,402
235,401,402
236,401,402
237,401,402
238,401,402
239,401,402
240,401,402
241,401,402
242,401,402
243,401,402
244,401,402
245,401,402
246,401,402
247,401,402
248,401,402
249,401,402
250,401,402
251,401,402
252,401,402
253,401,402
254,400,402
255,401,402
256,401,402
257,401,402
258,401,402
259,401,402
260,401,402
261,401,402
262,401,402
263,401,402
264,401,402
265,401,402
266,401,402
267,401,402
268,401,402
269,401,402
270,401,402
271,401,402
272,401,402
273,401,402
274,401,402
275,401,402
276,401,402
277,401,402
278,401,402
279,401,402
280,401,402
281,401,402
282,401,402
283,401,402
284,401,402
285,401,402
286,401,402
287,401,402
288,401,402
289,401,402
290,401,402
291,401,402
292,401,402
293,401,402
294,401,402
295,401,402
296,401,402
297,401,402
298,401,402
299,401,402
300,401,402
301,401,402
302,401,402
303,390,402
304,401,402
305,401,402
306,401,402
307,401,402
308,401,402
309,401,402
310,401,402
311,401,402
312,401,402
313,401,402
314,401,402
315,401,402
316,401,402
317,401,402
318,401,402
319,401,402
320,401,402
321,401,402
322,401,402
323,401,402
324,401,402
325,401,402
326,401,402
327,401,402
328,401,402
329,401,402
330,401,402
331,401,402
332,401,402
333,401,402
334,401,402
335,401,402
336,1,401
337,401,402
338,401,402
339,401,402
340,401,402
341,401,402
342,401,402
343,401,402
344,401,402
345,401,402
346,401,402
347,401,402
348,401,402
349,401,402
350,401,402
351,401,402
352,401,402
353,401,402
354,401,402
355,401,402
356,401,402
357,401,402
358,398,402
359,401,402
360,401,402
361,401,402
362,401,402
363,401,402
364,401,402
365,401,402
366,401,402
367,401,402
368,401,402
369,401,402
370,401,402
371,401,402
372,401,402
373,401,402
374,401,402
375,401,402
376,401,402
377,401,402
378,401,402
379,401,402
380,401,402
381,401,402
382,401,402
383,401,402
384,401,402
385,401,402
386,401,402
387,401,402
388,401,402
389,401,402
390,401,402
391,1,1
392,401,402
393,400,402
394,401,402
395,401,402
396,401,402
397,401,402
398,401,402
399,401,402
400,401,402
401,401,402
402,401,402
403,401,402
